sweater,hs_tf,sparkly,noise,lights,objects,colors,image_tf,image_desc
sweater1,Yes,Yes,No,No,No,"Red, Yellow, Blue, White, teal",Yes,octopus dressed like santa
sweater2,Yes,No,No,No,No,Green,No,NA
sweater3,Yes,No,No,No,No,"Red, Yellow, Green, Brown, White, Black",Yes,Houses
sweater4,No,No,No,No,No,the limit does not exist,No,NA
sweater5,Yes,No,No,No,No,"Blue, White, Black",Yes,T-rex
sweater6,No,NA,NA,NA,NA,NA,NA,NA
sweater8,Yes,No,Yes,Yes,Yes,"Red, Green, Blue, Purple, White, Grey",No,NA
sweater9,No,NA,NA,NA,NA,NA,NA,NA
sweater10,No,NA,NA,NA,NA,NA,NA,NA
sweater11,Yes,No,No,No,No,"Red, Yellow, Green, Brown, White, Black, Gray, Silver",Yes,Santa Clause on a Motorcycle with Jesus in the Sidecar
sweater12,Yes,Yes,No,No,Yes,"Red, Orange, Yellow, Green, Blue, Purple, Black",Yes,A kelp forest “Christmas tree” w San Diego fish & invert species
sweater13,Yes,No,No,No,No,"Yellow, Blue",Yes,Star of David
sweater14,No,NA,NA,NA,NA,NA,NA,NA
sweater15,No,No,No,No,No,NA,No,NA
sweater16,Yes,No,No,No,No,"Red, Green, White",Yes,"Picture of Santaur (santa as a centaur, shirtless)"
sweater17,Yes,Yes,No,Yes,No,"Red, Orange, Yellow, Green, Blue, Purple, Black",Yes,A U.F.O.
sweater18,Yes,No,No,No,No,"Red, Green, Blue, White",Yes,Shark in a santa hat
sweater19,No,NA,NA,NA,NA,i really need to get a holiday sweater,NA,NA
sweater20,Yes,No,No,No,No,"Red, Orange, Yellow, Green, Blue, Brown, White",Yes,crocodile with a christmas hat next to a palm tree with lights
sweater21,Yes,Yes,No,No,No,"Red, Yellow, Green, Blue, White",No,NA
sweater22,No,No,No,No,No,N/A,No,I'm wishing I had one now...
sweater23,Yes,No,No,No,No,"Red, Green, Black, Skin Tone",Yes,A bikini and tattoos including a tramp stamp
sweater24,Yes,No,No,No,No,"Blue, White",Yes,Reindeer
sweater25,Yes,Yes,No,No,No,"Red, Orange, Yellow, Green, Blue, Purple, Brown, White, Black",No,NA
sweater26,No,NA,NA,NA,NA,NA,NA,NA
sweater27,No,NA,NA,NA,NA,NA,NA,NA
sweater28,Yes,No,No,No,No,"Red, Gray",Yes,Cleveland Cavaliers Logo
sweater29,Yes,No,No,No,No,"Blue, White",Yes,"star of david, torah, menorah"
sweater30,No,No,No,No,No,NA,No,None
sweater31,Yes,No,No,No,No,"Red, White, teal",Yes,"Dolphin tangled in Christmas lights, sounds darker than in probably was intended to be but it is a good environmental education talking point!"
sweater32,Yes,No,No,No,No,"Red, Green",No,NA
sweater33,Yes,No,No,No,Yes,"Green, Purple, White",Yes,Reindeer
sweater34,No,No,No,No,No,NA,No,NA
sweater35,No,NA,NA,NA,NA,NA,NA,NA
sweater36,Yes,Yes,No,No,Yes,"Red, Green, Silver and gold",Yes,I think its a poinsettia - sorry I don't have a picture since its not with me.
sweater37,No,No,No,No,No,NA,No,NA
sweater38,Yes,Yes,No,No,No,"Red, Yellow, Green, Blue, White, Black",No,NA
sweater39,No,No,No,No,No,NA,No,NA
sweater40,Yes,No,No,No,Yes,"Red, Green, White",Yes,A tree
sweater41,Yes,No,No,No,No,"Red, Brown, White",Yes,Reindeer
sweater42,No,No,No,No,No,"Brown, White, Black, I don't have a *holiday* sweater but i have AN AMAZING sweater I would wear in these moments",No,NA
sweater43,Yes,No,No,No,No,"Red, Orange, Yellow, Green, Blue, Purple, Brown, White, Black",Yes,"Christmas tree, ornaments, lights, etc."
sweater44,No,No,No,No,No,NA,No,NA
sweater45,Yes,Yes,No,No,No,"Red, Green, Brown, White, Gold",Yes,A pug with reindeer antlers on
sweater46,Yes,Yes,No,No,Yes,"Green, gold",Yes,Trees
sweater47,No,NA,NA,NA,NA,NA,NA,NA
sweater48,No,NA,NA,NA,NA,NA,NA,NA
sweater49,Yes,Yes,No,No,No,"Red, Green, Gold",Yes,Christmas Tree
sweater50,Yes,No,No,No,No,"Red, Green",Yes,Grinch
sweater51,Yes,No,No,No,No,"Red, Green, Blue",Yes,a golfer
sweater52,No,No,No,No,No,NA,No,NA
sweater53,No,NA,NA,NA,NA,NA,NA,NA
sweater54,No,NA,NA,NA,NA,NA,NA,NA
sweater55,No,NA,NA,NA,NA,NA,NA,NA
sweater56,Yes,No,No,No,No,"Red, Green, White",Yes,A T-Rex
sweater57,No,NA,NA,NA,NA,NA,NA,NA
sweater58,No,NA,NA,NA,NA,NA,NA,NA
sweater59,Yes,Yes,No,No,Yes,"Red, Green, Brown, White, Black",Yes,"It's a sweater vest with snowmen, snowy trees, and santa on the front."
sweater60,Yes,No,No,No,No,Red,No,NA
sweater61,Yes,No,No,No,Yes,"Yellow, Blue, White",Yes,Hanukah menorah
sweater62,Yes,No,No,No,No,"Red, Green, White, Black",Yes,satan
sweater63,Yes,No,No,No,No,"Red, Yellow, Green, Blue, White",Yes,"Christmas tree, santa, gifts, etc."
sweater64,Yes,No,No,No,Yes,"Red, Yellow, Green, White, Black",Yes,Cat
sweater65,No,NA,NA,NA,NA,NA,NA,"I thought I had a sweater, but I checked my closet and realized I had gotten rid of it :("
sweater66,Yes,No,No,No,No,"Red, Green, White",Yes,Cats with presents
sweater67,No,NA,NA,NA,NA,NA,NA,NA
sweater68,Yes,Yes,Yes,No,Yes,"Red, Green, Blue, White, Black, Good",Yes,Christmas tree
sweater69,Yes,Yes,No,Yes,No,"Red, Yellow, Green, Blue, Purple, Black, Pink",Yes,christmas tree ornaments
sweater70,Yes,No,No,No,No,"Blue, White",No,NA
sweater71,Yes,Yes,Yes,No,Yes,"Red, Green, Blue, White",Yes,Santa and elves
sweater72,Yes,No,No,No,No,Red,No,NA
sweater73,Yes,No,No,NA,No,"Red, Yellow, Green, Brown, White, Black",Yes,Snoopy on a doghouse lit up with Christmas lights
sweater74,Yes,No,No,No,No,"Orange, White, Black",Yes,The bugle podcast logo
sweater75,No,NA,NA,NA,NA,NA,NA,NA
sweater76,Yes,No,No,No,Yes,"Red, Green, Blue, White, Black",Yes,Polar bears and penguins ice skating with a Christmas tree
sweater77,Yes,Yes,No,No,Yes,"Red, Yellow, Green, White, Black",Yes,"A cat wrapped in sparkly tinsel while wearing a scarf, a hat, and lil socks"
sweater78,Yes,No,No,No,No,"Red, White, Black",Yes,reindeersss
sweater79,No,NA,NA,NA,NA,NA,NA,NA
sweater80,Yes,Yes,No,No,Yes,"Red, Yellow, Green, Blue, Brown, Black",Yes,A giraffe wearing a Santa hat and two scarves
sweater81,No,No,No,No,No,NA,NA,NA
sweater82,No,NA,NA,NA,NA,NA,NA,NA
sweater83,Yes,Yes,No,No,No,terrifyingly bright pink,No,NA
sweater84,Yes,No,No,No,No,"Yellow, Blue, Purple, White",No,NA
sweater85,Yes,No,No,No,No,Blue,No,NA
sweater86,Yes,No,No,No,No,"Yellow, White, Grey",No,NA
sweater88,Yes,No,No,No,Yes,"Red, Yellow, Green, Blue, White, Black",Yes,"Divine from ""Pink Flamingos"""
sweater89,No,NA,NA,NA,NA,NA,NA,NA
sweater90,Yes,No,No,No,No,"Red, Green, Blue, Purple, Brown, White, Black",No,Just a very silly pattern ☺️
sweater91,No,NA,NA,NA,NA,NA,NA,NA
sweater92,Yes,Yes,No,No,Yes,"Red, Orange, Yellow, Green, White, Black",Yes,Santa Claus
sweater93,Yes,Yes,No,No,No,"Red, Green, White",Yes,Rudolph the Red-Nosed Reindeer
sweater94,Yes,Yes,No,No,Yes,"Red, White, Black",Yes,It is a Darth Vader snowman decapitating another snowman with a sparkly lightsaber
sweater95,No,NA,NA,NA,NA,NA,NA,NA
sweater96,Yes,Yes,No,No,No,"Red, Green, Gold",Yes,Tree
sweater97,Yes,Yes,No,No,Yes,"Yellow, gray, gold",No,NA
sweater98,Yes,No,No,No,No,"Red, Green, Blue, Black",No,NA
sweater99,Yes,Yes,No,No,No,"Red, Blue, Brown, White",Yes,Reindeer
sweater100,Yes,Yes,No,No,Yes,"Orange, Yellow, Blue",Yes,Menorah
sweater101,No,NA,NA,NA,NA,NA,NA,NA
sweater102,No,NA,NA,NA,NA,NA,NA,NA
sweater103,Yes,No,Yes,No,Yes,"Red, Yellow, White, Black",Yes,Sloth
sweater104,Yes,Yes,No,No,Yes,"Red, White, Black",Yes,R2D2 wearing a Santa hat
sweater105,Yes,No,No,No,No,"Red, Green, Blue, Grey",No,NA
sweater106,No,No,No,No,No,NA,No,NA
sweater107,Yes,No,No,No,Yes,"Red, Green, White, Black",Yes,a llama wearing a scarf